Date,Time,Load
10/31/2019,1:00:00,2145.46
10/31/2019,2:00:00,2010.88
10/31/2019,3:00:00,1900.05
10/31/2019,4:00:00,1866.75
10/31/2019,5:00:00,1908.51
10/31/2019,6:00:00,1959.08
10/31/2019,7:00:00,1874.93
10/31/2019,8:00:00,1812.63
10/31/2019,9:00:00,1899.48
10/31/2019,10:00:00,1867.79
10/31/2019,11:00:00,1954.59
10/31/2019,12:00:00,1932.45
10/31/2019,13:00:00,1931.55
10/31/2019,14:00:00,1992.29
10/31/2019,15:00:00,1993.57
10/31/2019,16:00:00,2095.08
10/31/2019,17:00:00,2097.82
10/31/2019,18:00:00,2295.70
10/31/2019,19:00:00,2430.84
10/31/2019,20:00:00,2479.00
10/31/2019,21:00:00,2514.38
10/31/2019,22:00:00,2503.64
10/31/2019,23:00:00,2358.47
10/31/2019,0:00:00,2262.82
10/30/2019,1:00:00,2007.76
10/30/2019,2:00:00,1946.36
10/30/2019,3:00:00,1975.50
10/30/2019,4:00:00,1956.10
10/30/2019,5:00:00,1929.61
10/30/2019,6:00:00,1989.26
10/30/2019,7:00:00,1930.42
10/30/2019,8:00:00,1867.69
10/30/2019,9:00:00,1939.36
10/30/2019,10:00:00,1938.13
10/30/2019,11:00:00,1938.51
10/30/2019,12:00:00,1986.09
10/30/2019,13:00:00,1964.00
10/30/2019,14:00:00,2008.51
10/30/2019,15:00:00,2104.26
10/30/2019,16:00:00,2122.00
10/30/2019,17:00:00,2136.23
10/30/2019,18:00:00,2277.15
10/30/2019,19:00:00,2371.81
10/30/2019,20:00:00,2412.00
10/30/2019,21:00:00,2430.61
10/30/2019,22:00:00,2372.52
10/30/2019,23:00:00,2307.38
10/30/2019,0:00:00,2151.51
10/29/2019,1:00:00,1970.15
10/29/2019,2:00:00,1864.95
10/29/2019,3:00:00,1874.55
10/29/2019,4:00:00,1840.40
10/29/2019,5:00:00,1878.33
10/29/2019,6:00:00,1989.78
10/29/2019,7:00:00,1960.79
10/29/2019,8:00:00,1764.10
10/29/2019,9:00:00,1831.41
10/29/2019,10:00:00,1889.07
10/29/2019,11:00:00,1916.23
10/29/2019,12:00:00,1918.16
10/29/2019,13:00:00,1924.17
10/29/2019,14:00:00,1969.82
10/29/2019,15:00:00,2018.73
10/29/2019,16:00:00,2048.49
10/29/2019,17:00:00,2088.22
10/29/2019,18:00:00,2205.20
10/29/2019,19:00:00,2363.48
10/29/2019,20:00:00,2381.00
10/29/2019,21:00:00,2369.35
10/29/2019,22:00:00,2355.72
10/29/2019,23:00:00,2245.79
10/29/2019,0:00:00,2103.64
10/28/2019,1:00:00,1958.47
10/28/2019,2:00:00,1907.05
10/28/2019,3:00:00,1878.00
10/28/2019,4:00:00,1842.10
10/28/2019,5:00:00,1866.56
10/28/2019,6:00:00,1949.91
10/28/2019,7:00:00,1878.52
10/28/2019,8:00:00,1842.01
10/28/2019,9:00:00,1890.82
10/28/2019,10:00:00,1916.37
10/28/2019,11:00:00,1984.34
10/28/2019,12:00:00,2017.93
10/28/2019,13:00:00,2030.04
10/28/2019,14:00:00,1940.82
10/28/2019,15:00:00,1947.16
10/28/2019,16:00:00,1960.36
10/28/2019,17:00:00,1972.71
10/28/2019,18:00:00,2138.51
10/28/2019,19:00:00,2315.04
10/28/2019,20:00:00,2389.00
10/28/2019,21:00:00,2396.31
10/28/2019,22:00:00,2346.78
10/28/2019,23:00:00,2225.69
10/28/2019,0:00:00,2079.23
10/27/2019,1:00:00,1994.23
10/27/2019,2:00:00,1938.51
10/27/2019,3:00:00,1933.77
10/27/2019,4:00:00,1871.24
10/27/2019,5:00:00,1810.64
10/27/2019,6:00:00,1818.92
10/27/2019,7:00:00,1855.87
10/27/2019,8:00:00,1833.54
10/27/2019,9:00:00,1797.16
10/27/2019,10:00:00,1769.30
10/27/2019,11:00:00,1770.96
10/27/2019,12:00:00,1808.61
10/27/2019,13:00:00,1848.96
10/27/2019,14:00:00,1913.86
10/27/2019,15:00:00,1926.40
10/27/2019,16:00:00,1899.43
10/27/2019,17:00:00,1882.26
10/27/2019,18:00:00,2179.71
10/27/2019,19:00:00,2387.46
10/27/2019,20:00:00,2480.00
10/27/2019,21:00:00,2435.57
10/27/2019,22:00:00,2331.65
10/27/2019,23:00:00,2174.31
10/27/2019,0:00:00,2043.09
10/26/2019,1:00:00,2240.30
10/26/2019,2:00:00,2193.42
10/26/2019,3:00:00,2136.80
10/26/2019,4:00:00,2094.42
10/26/2019,5:00:00,2097.78
10/26/2019,6:00:00,2100.90
10/26/2019,7:00:00,1972.61
10/26/2019,8:00:00,1729.42
10/26/2019,9:00:00,1741.96
10/26/2019,10:00:00,1881.36
10/26/2019,11:00:00,1965.23
10/26/2019,12:00:00,1901.51
